feature,logistic_abs_coef,random_forest_importance,combined_rank_score
employees,0.21675725621878386,0.09170653907496013,7.0
team_size,0.21823997604161793,0.07518796992481203,7.5
startup_age_years,0.21664542276827867,0.07518796992481203,9.5
latest_valuation_usd,0.1909710257496915,0.09870830923462501,11.0
remote_friendly,0.2543651214577396,0.0435704646230962,13.0
total_funding_usd,0.190425616119472,0.10526015996930123,13.0
founded_year,0.21664542276827856,0.049767275331185086,15.0
log1p_total_funding_usd,0.16426568148156084,0.09250098931539374,18.0
funding_rounds,0.19074224293955963,0.05010332849668029,19.0
funding_stage_rank,0.1907422429395596,0.06539074960127592,19.0
investor_count,0.18396929030354003,0.073645652593021,20.0
industry_Agritech,0.21024328649666524,0.02785810680547523,20.0
country_Brazil,0.21024328649666524,0.02159244264507422,21.0
last_funding_stage_Series B,0.21024328649666524,0.015037593984962412,23.0
log1p_latest_valuation_usd,0.16466580555664218,0.04511278195488721,25.0
country_Germany,0.11814067325728551,0.020339309812994016,33.0
last_funding_stage_Series C,0.11814067325728551,0.008771929824561405,37.0
last_funding_stage_Seed,0.12140008452389864,0.001271561256081391,40.0
monthly_web_visits,0.10572132875572357,0.0037593984962406173,42.0
followers,0.08271350243496091,0.009132965702019925,44.0
log1p_monthly_web_visits,0.07623500745999032,0.0045568466621098355,48.0
last_funding_stage_Pre-Seed,0.061858323134926486,0.00463606495229672,50.0
country_Israel,0.0903523012774148,9.432721938544556e-18,50.5
job_openings,0.04008470073805408,0.014246141669964392,51.0
country_Usa,0.09179837278224424,8.597967784691057e-18,51.0
industry_Ai,0.09179837278224424,7.178885723140107e-18,53.0
industry_Healthtech,0.06637453391899593,0.0010442773600668378,53.5
log1p_followers,0.05421454646681154,0.0016111707841031334,54.0
industry_Cleantech,0.11814067325728551,1.7999386442466112e-18,54.0
last_funding_stage_Series A,0.09179837278224424,5.258951169277055e-18,56.0
country_Uk,0.06637453391899593,8.764918615461756e-18,56.5
industry_Cybersecurity,0.0903523012774148,1.919934553863052e-18,59.5
industry_Edtech,0.037187141519742416,9.182295692388508e-18,62.5
industry_Ecommerce,0.04267161025555334,5.759803661589155e-18,64.5
country_Canada,0.037187141519742416,7.471049676988829e-18,65.5
country_India,0.04267161025555334,5.676328246203807e-18,65.5
industry_Logistics,0.0,0.0,77.0
industry_Saas,0.0,0.0,77.0
industry_Fintech,0.0,0.0,77.0
country_Singapore,0.0,0.0,77.0
